N_d	W_d	N_sch	W_sch	N_trns	W_trns
0.0	0.0	1.0	0.0	0.0299211947419	0.000917221966501
0.0	0.0	1.0	0.0	0.0103356194749	0.000917221966501
0.0	0.0	1.0	0.0	0.0012875692554	0.000513411922515
0.0	0.0	7.86037901435e-14	0.0	0.00096500976524	0.0
0.0	0.0	0.0	0.0	0.00096500976524	0.0
294.229229309	271.412695834	1.0	1.0	3.6	2.63540286952
414.784551609	383.942090636	1.0	1.0	3.6	3.6
458.912043749	425.146630466	1.0	1.0	3.6	3.6
414.784551609	383.942090636	1.0	1.0	3.6	3.6
294.229229309	271.412695834	1.0	1.0	3.6	3.6
0.0	0.0	0.0	1.0	3.6	3.6
0.0	0.0	0.0	1.0	3.6	3.6
0.0	0.0	0.0	1.0	3.6	3.6
0.0	0.0	0.0	1.0	3.6	3.6
0.0	0.0	0.0	1.0	3.6	3.6
0.0	0.0	0.0	0.918318068968	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	1.0	0.0	3.6	2.81578810728
0.0	0.0	1.0	0.0	3.08839745519	0.940583199365
0.0	0.0	1.0	0.0	1.02796195786	0.313681382654
0.0	0.0	1.0	0.0	0.341817061632	0.103540484388
0.0	0.0	1.0	0.0	0.113828119955	0.0360030692826
0.0	0.0	1.0	0.0	0.0395772968892	0.0101607004597
0.0	0.0	1.0	0.0	0.0111693439034	0.00332009151371
0.0	0.0	1.0	0.0	0.00364967892499	0.000954944856469
0.0	0.0	1.0	0.0	0.00104974150427	0.000954944856469
0.0	0.0	1.0	0.0	0.0015929208497	0.00025539053269
0.0	0.0	0.0	0.0	0.0	0.00025539053269
513.303190543	182.989101308	1.0	0.0	3.6	1.43304178289
720.357456318	257.656099148	1.0	1.0	3.6	3.5437181598
796.110338901	284.983396028	1.0	1.0	3.6	3.6
720.357456318	257.656099148	1.0	1.0	3.6	3.6
513.303190543	182.989101308	1.0	1.0	3.6	3.6
0.0	0.0	0.0	1.0	3.6	1.89389377754
0.0	0.0	0.0	1.0	3.6	0.206568993732
0.0	0.0	0.0	1.0	3.6	0.0673787521145
0.0	0.0	0.0	1.0	3.6	0.024231572882
0.0	0.0	0.0	1.0	3.6	0.00840064702929
0.0	0.0	0.0	0.180588924964	3.6	0.00200146010585
0.0	0.0	0.0	0.0	3.6	0.00105019553131
0.0	0.0	0.0	0.0	3.6	0.000142055602962
0.0	0.0	0.328654300561	0.0	3.6	0.0
0.0	0.0	1.0	0.0	3.6	0.0
0.0	0.0	1.0	0.0	2.34777784787	7.80035903028e-05
0.0	0.0	1.0	0.0	0.781750523259	0.000188033186935
0.0	0.0	1.0	0.0	0.260710297527	5.50147983163e-05
0.0	0.0	1.0	0.0	0.0860556971652	0.0
0.0	0.0	1.0	0.0	0.029923263793	0.0
0.0	0.0	1.0	0.0	0.0103363341832	2.87359899831e-06
0.0	0.0	0.818314167149	0.0	0.00128765829084	3.18177976556e-05
0.0	0.0	0.0	0.0	0.000965076495682	1.44720993287e-05
0.0	0.0	0.0	0.0	0.000965076495682	0.0
358.531660985	199.297041772	1.0	0.00864139641436	3.6	1.58435829596
500.886673293	279.317043899	1.0	1.0	3.6	3.6
552.943309337	308.588993475	1.0	1.0	3.6	3.6
500.886673293	279.317043899	1.0	1.0	3.6	3.6
358.531660985	199.297041772	1.0	1.0	3.6	3.6
0.0	0.0	0.0	1.0	3.6	3.04910548699
0.0	0.0	0.0	1.0	3.6	0.548988344165
